100
Age,Is Citizen,Floor,Unit,Postal code,Income per month
70,1,2,204,750347,5000
39,1,14,209,750348,3500
45,1, 14, 209, 750348,3500
13,1,9,208,750348,0
41,1,10,203,750349,9000
69,0,11,205,750346,4000
22,1,11,204,750347,5000
5,0,7,206,750350,0
68,0,14,210,750348,5000
45,0,5,208,750347,3000
14,0,5,203,750346,0
21,0,8,201,750346,4000
30,1,14,200,750347,5000
28,1,5,202,750346,5000
34,1,10,206,750347,8000
43,1,14,206,750348,2000
14,1,7,210,750349,0
14,1,11,209,750348,0
31,1,15,203,750347,8000
11,1,8,209,750349,0
9,1,13,203,750345,0
55,1,3,209,750348,3000
62,0,4,203,750350,8000
30,0,7,201,750350,3000
36,1,6,201,750348,6000
22,0,8,208,750347,8000
26,0,5,204,750350,6000
15,0,6,207,750346,3000
16,0,8,204,750350,5000
13,0,10,204,750346,0
27,0,11,210,750346,6000
38,0,2,200,750349,6000
53,1,14,207,750348,5000
21,0,13,204,750346,7000
55,1,2,210,750346,8000
41,1,2,210,750345,3000
16,1,15,204,750350,9000
16,0,7,200,750347,8000
65,0,3,210,750345,3000
29,1,1,201,750350,3000
56,0,12,207,750347,8000
22,1,15,205,750346,4000
66,1,10,210,750348,3000
44,1,10,208,750345,7000
43,0,9,210,750348,3000
66,0,3,204,750350,7000
10,0,2,209,750350,0
50,0,4,204,750347,2000
49,0,6,200,750347,4000
22,1,15,207,750346,6000
19,1,13,201,750349,7000
68,1,1,207,750348,6000
42,0,9,207,750347,5000
35,1,14,201,750350,7000
37,1,12,208,750350,8000
6,0,15,209,750349,0
19,1,14,210,750349,8000
27,1,11,200,750350,6000
64,1,1,208,750349,7000
17,1,14,205,750347,3000
45,0,10,204,750347,6000
66,1,6,203,750349,2000
68,0,5,205,750346,5000
41,0,11,203,750347,6000
20,1,4,210,750348,8000
64,1,9,210,750346,9000
52,0,3,209,750345,5000
41,0,11,208,750346,7000
8,1,7,206,750350,0
29,1,4,204,750347,8000
29,0,4,209,750345,4000
29,1,12,205,750349,9000
54,1,1,201,750348,3000
7,1,10,204,750347,0
51,1,15,210,750350,5000
39,0,6,210,750347,10000
47,1,3,202,750346,8000
37,1,10,209,750347,3000
62,1,2,202,750350,9000
34,1,9,207,750345,6000
56,1,4,204,750348,8000
54,0,5,202,750350,5000
15,0,12,200,750350,6000
10,1,2,205,750349,0
62,0,6,210,750348,2000
41,1,8,207,750348,9000
56,0,12,208,750349,6000
24,1,2,210,750345,8000
38,1,8,200,750345,8000
7,1,13,205,750345,0
62,0,6,201,750350,6000
60,0,7,205,750350,6000
22,1,13,210,750345,6000
16,1,5,210,750350,3000
39,1,14,202,750349,4000
37,0,9,204,750345,6000
11,1,4,206,750350,0
25,0,11,207,750346,8000
35,1,4,205,750347,9000
61,0,2,202,750349,7000
